interaction_id,customer_id,campaign_name,channel,event_date,sent,opened,clicked,converted,order_value,spend
INT100112,SWGY12892,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-26,1,0,0,0,0.0,4.86
INT100113,SWGY13544,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-29,1,1,1,0,0.0,0.47
INT100114,SWGY13968,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-07,1,0,0,0,0.0,4.28
INT100115,SWGY14536,IPL_2025_SPONSORSHIP,Push Notification (App),2024-09-15,1,1,0,0,0.0,0.51
INT100116,SWGY14607,REFERRAL_GROWTH_DRIVE,Referral,2024-05-22,1,1,0,0,0.0,1.94
INT100117,SWGY13984,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2025-06-22,1,1,1,0,0.0,6.24
INT100118,SWGY14851,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-16,1,1,1,0,0.0,0.35
INT100120,SWGY12260,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-28,1,1,0,0,0.0,4.0
INT100121,SWGY12969,IPL_2025_SPONSORSHIP,Push Notification (App),2024-10-14,1,0,0,0,0.0,0.31
INT100122,SWGY12985,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-27,1,1,0,0,0.0,6.12
INT100123,SWGY13339,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-06-15,1,0,0,0,0.0,0.31
INT100124,SWGY13227,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-07,1,0,0,0,0.0,0.44
INT100125,SWGY15844,REFERRAL_GROWTH_DRIVE,Referral,2025-05-25,1,0,0,0,0.0,1.45
INT100126,SWGY15196,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-06-15,1,0,0,0,0.0,0.22
INT100127,SWGY14059,IPL_2025_SPONSORSHIP,Push Notification (App),2024-06-16,1,0,0,0,0.0,0.34
INT100128,SWGY13413,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-19,1,0,0,0,0.0,4.3
INT100129,SWGY14908,SWIGGY_ONE_LAUNCH,Paid Social,2025-02-21,1,1,1,0,0.0,3.34
INT100130,SWGY13945,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2024-05-07,1,0,0,0,0.0,0.72
INT100131,SWGY11656,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-10,1,0,0,0,0.0,0.66
INT100132,SWGY10828,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-25,1,1,0,0,0.0,0.42
INT100133,SWGY11623,REFERRAL_GROWTH_DRIVE,Referral,2023-10-01,1,0,0,0,0.0,1.79
INT100134,SWGY15297,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-05,1,1,1,0,0.0,3.61
INT100135,SWGY14265,WINBACK_DORMANT_USERS,Push Notification (App),2024-01-07,1,0,0,0,0.0,0.39
INT100136,SWGY12288,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-28,1,0,0,0,0.0,6.38
INT100137,SWGY10384,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-04-18,1,1,1,0,0.0,3.57
INT100138,SWGY11791,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-26,1,0,0,0,0.0,0.48
INT100139,SWGY13866,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-06-03,1,1,0,0,0.0,0.21
INT100140,SWGY10703,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-28,1,1,0,0,0.0,0.35
INT100141,SWGY15420,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-02,1,1,1,0,0.0,4.06
INT100143,SWGY12301,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-02-02,1,0,0,0,0.0,0.38
INT100145,SWGY11036,INSTAMART_10MIN_PUSH,Push Notification (App),2024-10-19,1,1,1,1,107.45,0.45
INT100146,SWGY10675,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-02-22,1,0,0,0,0.0,5.45
INT100147,SWGY13954,WINBACK_DORMANT_USERS,Push Notification (App),2024-07-26,1,0,0,0,0.0,0.46
INT100148,SWGY11651,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-29,1,1,1,1,234.63,0.43
INT100149,SWGY11429,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2024-11-08,1,1,1,0,0.0,3.88
INT100150,SWGY14411,IPL_2025_SPONSORSHIP,Push Notification (App),2024-08-19,1,1,1,1,189.9,0.49
INT100151,SWGY12496,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2023-12-19,1,0,0,0,0.0,4.98
INT100152,SWGY10339,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-06-25,1,0,0,0,0.0,2.49
INT100153,SWGY12716,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-03,1,0,0,0,0.0,0.33
INT100154,SWGY13851,INSTAMART_10MIN_PUSH,Push Notification (App),2024-03-17,1,1,1,0,0.0,0.44
INT100155,SWGY10808,WINBACK_DORMANT_USERS,Push Notification (App),2024-07-16,1,1,0,0,0.0,0.5
INT100157,SWGY11100,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-17,1,0,0,0,0.0,0.75
INT100158,SWGY15596,WINBACK_DORMANT_USERS,Swiggy One Emailer,2024-03-02,1,0,0,0,0.0,0.22
INT100159,SWGY11498,SWIGGY_ONE_LAUNCH,Paid Social,2025-05-02,1,1,0,0,0.0,4.5
INT100160,SWGY15450,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-03-17,1,0,0,0,0.0,3.8
INT100161,SWGY10764,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-06-12,1,0,0,0,0.0,0.32
INT100162,SWGY10867,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-09-09,1,1,1,0,0.0,0.34
INT100165,SWGY10436,REFERRAL_GROWTH_DRIVE,Referral,2023-12-19,1,0,0,0,0.0,1.38
INT100166,SWGY11023,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2024-03-12,1,1,0,0,0.0,3.47
INT100167,SWGY12745,REFERRAL_GROWTH_DRIVE,Referral,2024-12-26,1,1,1,0,0.0,2.32
INT100168,SWGY12698,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-28,1,0,0,0,0.0,0.5
INT100169,SWGY12253,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-18,1,1,0,0,0.0,5.68
INT100170,SWGY10558,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-06-03,1,0,0,0,0.0,4.52
INT100171,SWGY12327,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-04-12,1,0,0,0,0.0,2.73
INT100172,SWGY13086,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-06-16,1,0,0,0,0.0,0.21
INT100173,SWGY13295,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-03,1,0,0,0,0.0,0.61
INT100174,SWGY10011,SWIGGY_ONE_LAUNCH,Paid Social,2024-09-28,1,0,0,0,0.0,3.93
INT100175,SWGY14724,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-04,1,0,0,0,0.0,4.82
INT100176,SWGY13562,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-16,1,0,0,0,0.0,0.29
INT100177,SWGY12274,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-01-16,1,1,0,0,0.0,0.28
INT100178,SWGY14314,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-23,1,0,0,0,0.0,3.78
INT100179,SWGY11298,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-08,1,0,0,0,0.0,0.51
INT100180,SWGY12690,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-15,1,0,0,0,0.0,0.41
INT100181,SWGY10766,SWIGGY_ONE_LAUNCH,Paid Social,2024-10-28,1,1,1,1,20.51,4.86
INT100182,SWGY12703,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-24,1,1,1,1,63.77,0.55
INT100183,SWGY11613,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-15,1,0,0,0,0.0,5.38
INT100184,SWGY15694,WINBACK_DORMANT_USERS,Push Notification (App),2025-05-16,1,0,0,0,0.0,0.43
INT100185,SWGY10731,REFERRAL_GROWTH_DRIVE,Referral,2025-06-29,1,0,0,0,0.0,2.32
INT100186,SWGY11224,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2023-11-19,1,0,0,0,0.0,0.54
INT100187,SWGY14301,WINBACK_DORMANT_USERS,Push Notification (App),2024-05-06,1,0,0,0,0.0,0.45
INT100188,SWGY15980,REFERRAL_GROWTH_DRIVE,Referral,2025-05-15,1,0,0,0,0.0,1.83
INT100189,SWGY15683,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-01,1,1,0,0,0.0,5.36
INT100190,SWGY14504,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-02,1,1,0,0,0.0,0.39
INT100191,SWGY12424,IPL_2025_SPONSORSHIP,Push Notification (App),2024-12-31,1,1,0,0,0.0,0.48
INT100192,SWGY14492,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2023-10-13,1,1,1,1,200.09,5.73
INT100193,SWGY12537,REFERRAL_GROWTH_DRIVE,Referral,2025-02-20,1,0,0,0,0.0,1.55
INT100194,SWGY12342,INSTAMART_10MIN_PUSH,Push Notification (App),2024-11-28,1,1,0,0,0.0,0.33
INT100195,SWGY13960,REFERRAL_GROWTH_DRIVE,Referral,2025-06-30,1,1,0,0,0.0,1.7
INT100196,SWGY11205,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2023-09-16,1,1,0,0,0.0,0.3
INT100197,SWGY12339,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2023-11-06,1,1,0,0,0.0,6.31
INT100198,SWGY11603,REFERRAL_GROWTH_DRIVE,Referral,2025-06-04,1,0,0,0,0.0,1.5
INT100199,SWGY12836,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-07-01,1,0,0,0,0.0,0.31
INT100200,SWGY15311,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-24,1,1,1,0,0.0,0.45
INT100201,SWGY10207,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-11,1,1,1,0,0.0,4.01
INT100203,SWGY11253,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-09,1,1,0,0,0.0,5.23
INT100204,SWGY13911,SWIGGY_ONE_LAUNCH,Paid Social,2025-05-24,1,1,0,0,0.0,4.81
INT100205,SWGY10807,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-04-20,1,0,0,0,0.0,0.27
INT100206,SWGY15759,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-15,1,0,0,0,0.0,5.89
INT100207,SWGY13197,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-18,1,0,0,0,0.0,5.28
INT100208,SWGY14953,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-01-11,1,0,0,0,0.0,0.23
INT100209,SWGY11055,REFERRAL_GROWTH_DRIVE,Referral,2024-05-29,1,0,0,0,0.0,1.29
INT100210,SWGY14243,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-04-16,1,0,0,0,0.0,0.36
INT100212,SWGY10074,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-07,1,0,0,0,0.0,4.84
INT100213,SWGY14949,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2025-06-19,1,1,0,0,0.0,0.29
INT100214,SWGY12803,INSTAMART_10MIN_PUSH,Push Notification (App),2025-06-07,1,1,0,0,0.0,0.4
INT100215,SWGY12097,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2024-08-17,1,0,0,0,0.0,6.05
INT100216,SWGY15563,SWIGGY_ONE_LAUNCH,Paid Social,2025-06-29,1,1,0,0,0.0,3.93
INT100217,SWGY13235,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2024-09-20,1,0,0,0,0.0,0.55
INT100218,SWGY12015,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-08,1,0,0,0,0.0,0.32
INT100219,SWGY11342,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-05,1,1,1,0,0.0,0.31
INT100220,SWGY12026,IPL_2025_SPONSORSHIP,Push Notification (App),2024-09-26,1,0,0,0,0.0,0.43
INT100221,SWGY12678,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-13,1,0,0,0,0.0,0.51
INT100222,SWGY10029,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-06-28,1,1,0,0,0.0,4.02
INT100223,SWGY15731,INSTAMART_10MIN_PUSH,Performance Ads (Search/Display),2025-04-28,1,1,0,0,0.0,3.72
INT100224,SWGY15749,REFERRAL_GROWTH_DRIVE,Referral,2025-06-19,1,0,0,0,0.0,2.06
INT100225,SWGY13828,WINBACK_DORMANT_USERS,Swiggy One Emailer,2023-09-23,1,0,0,0,0.0,0.32
INT100226,SWGY11777,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2025-06-11,1,0,0,0,0.0,0.48
INT100228,SWGY14978,REFERRAL_GROWTH_DRIVE,Referral,2025-06-23,1,0,0,0,0.0,1.95
INT100229,SWGY10956,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2024-08-19,1,0,0,0,0.0,2.59
INT100230,SWGY12288,IPL_2025_SPONSORSHIP,Push Notification (App),2025-05-31,1,0,0,0,0.0,0.4
INT100231,SWGY15496,INSTAMART_10MIN_PUSH,Push Notification (App),2024-01-15,1,0,0,0,0.0,0.33
INT100232,SWGY11736,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2024-01-20,1,1,0,0,0.0,0.6
INT100233,SWGY10822,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-17,1,1,0,0,0.0,0.44
INT100234,SWGY10270,INSTAMART_10MIN_PUSH,Push Notification (App),2024-02-27,1,0,0,0,0.0,0.33
INT100235,SWGY13882,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2024-05-25,1,1,0,0,0.0,3.28
INT100236,SWGY15583,WINBACK_DORMANT_USERS,Swiggy One Emailer,2025-03-18,1,0,0,0,0.0,0.24
INT100237,SWGY14242,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-04-14,1,1,0,0,0.0,2.39
INT100238,SWGY14903,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2024-09-21,1,1,0,0,0.0,4.34
INT100239,SWGY11930,WINBACK_DORMANT_USERS,Push Notification (App),2025-06-02,1,0,0,0,0.0,0.47
INT100240,SWGY14207,IPL_2025_SPONSORSHIP,IPL / Sponsorship,2025-05-31,1,1,0,0,0.0,3.49
INT100241,SWGY13946,NEW_CITY_LAUNCH_PUSH,Organic App / SEO,2024-02-18,1,1,1,0,0.0,0.75
INT100242,SWGY12886,SWIGGY_ONE_LAUNCH,Swiggy One Emailer,2024-02-17,1,1,1,1,414.69,0.25
INT100243,SWGY12704,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2025-06-26,1,1,1,0,0.0,3.68
INT100244,SWGY14610,FESTIVE_LAXMI_CAMPAIGN,Paid Social,2025-01-05,1,1,1,0,0.0,4.48
INT100245,SWGY14099,FESTIVE_LAXMI_CAMPAIGN,Performance Ads (Search/Display),2025-06-07,1,1,0,0,0.0,4.09
INT100246,SWGY12935,IPL_2025_SPONSORSHIP,Push Notification (App),2025-06-18,1,0,0,0,0.0,0.47
