customer_id,recency,frequency,monetary,R,F,M,rfm_score,tier
SWGY10325,124,1,59.96,2,1,1,4,At-Risk
SWGY10327,106,1,197.01,2,1,3,6,Potential
SWGY10328,273,1,107.22,1,1,2,4,At-Risk
SWGY10331,89,1,567.17,2,1,4,7,Potential
SWGY10334,79,1,59.95,3,1,1,5,At-Risk
SWGY10337,243,1,165.71,2,1,2,5,At-Risk
SWGY10338,124,1,566.26,2,1,4,7,Potential
SWGY10339,31,1,55.41,3,1,1,5,At-Risk
SWGY10340,64,1,291.22,3,1,3,7,Potential
SWGY10347,558,1,40.94,1,1,1,3,Lost
SWGY10348,23,1,280.04,3,1,3,7,Potential
SWGY10350,233,1,383.69,2,1,4,7,Potential
SWGY10354,11,1,130.25,4,1,2,7,Potential
SWGY10358,71,1,449.79,3,1,4,8,Loyal
SWGY10363,7,2,491.08,4,4,4,12,Champions
SWGY10366,112,1,356.63,2,1,4,7,Potential
SWGY10368,24,1,143.16,3,1,2,6,Potential
SWGY10370,30,1,205.47,3,1,3,7,Potential
SWGY10371,224,1,80.04,2,1,1,4,At-Risk
SWGY10374,20,3,701.98,3,4,4,11,Champions
SWGY10378,76,1,79.83,3,1,1,5,At-Risk
SWGY10389,362,1,109.15,1,1,2,4,At-Risk
SWGY10391,209,1,224.24,2,1,3,6,Potential
SWGY10399,211,1,221.59,2,1,3,6,Potential
SWGY10404,79,1,63.64,3,1,1,5,At-Risk
SWGY10405,23,2,256.92,3,4,3,10,Champions
SWGY10406,31,1,53.72,3,1,1,5,At-Risk
SWGY10407,281,2,289.81,1,4,3,8,Loyal
SWGY10408,30,1,240.54,3,1,3,7,Potential
SWGY10411,324,2,332.58000000000004,1,4,4,9,Loyal
SWGY10412,77,1,93.49,3,1,1,5,At-Risk
SWGY10415,273,2,809.82,1,4,4,9,Loyal
SWGY10421,16,1,40.08,4,1,1,6,Potential
SWGY10426,13,1,456.44,4,1,4,9,Loyal
SWGY10443,335,1,108.29,1,1,2,4,At-Risk
SWGY10447,140,1,170.67,2,1,2,5,At-Risk
SWGY10458,463,1,498.73,1,1,4,6,Potential
SWGY10460,31,1,144.95,3,1,2,6,Potential
SWGY10461,242,2,158.39,2,4,2,8,Loyal
SWGY10464,12,2,306.63,4,4,3,11,Champions
SWGY10465,79,3,535.99,3,4,4,11,Champions
SWGY10468,116,1,219.24,2,1,3,6,Potential
SWGY10478,125,2,715.88,2,4,4,10,Champions
SWGY10479,39,1,434.64,3,1,4,8,Loyal
SWGY10480,21,1,203.61,3,1,3,7,Potential
SWGY10482,609,1,212.7,1,1,3,5,At-Risk
SWGY10487,377,1,222.03,1,1,3,5,At-Risk
SWGY10490,125,1,176.52,2,1,2,5,At-Risk
SWGY10491,387,1,53.59,1,1,1,3,Lost
SWGY10492,181,1,115.3,2,1,2,5,At-Risk
SWGY10493,100,1,507.7,2,1,4,7,Potential
SWGY10496,17,1,343.92,4,1,4,9,Loyal
SWGY10501,29,1,177.49,3,1,2,6,Potential
SWGY10510,225,1,28.46,2,1,1,4,At-Risk
SWGY10511,341,1,127.35,1,1,2,4,At-Risk
SWGY10513,231,1,433.04,2,1,4,7,Potential
SWGY10515,6,2,554.23,4,4,4,12,Champions
SWGY10517,8,1,163.73,4,1,2,7,Potential
SWGY10518,10,1,284.21,4,1,3,8,Loyal
SWGY10526,217,1,169.46,2,1,2,5,At-Risk
SWGY10529,29,1,324.98,3,1,3,7,Potential
SWGY10549,18,1,673.86,4,1,4,9,Loyal
SWGY10551,146,2,422.74,2,4,4,10,Champions
SWGY10555,402,1,214.55,1,1,3,5,At-Risk
SWGY10569,16,2,526.18,4,4,4,12,Champions
SWGY10570,31,1,76.1,3,1,1,5,At-Risk
SWGY10574,438,1,101.91,1,1,1,3,Lost
SWGY10575,31,1,681.39,3,1,4,8,Loyal
SWGY10580,256,1,65.45,2,1,1,4,At-Risk
SWGY10584,18,1,148.64,4,1,2,7,Potential
SWGY10595,256,1,123.36,2,1,2,5,At-Risk
SWGY10597,14,2,379.54999999999995,4,4,4,12,Champions
SWGY10604,478,1,46.82,1,1,1,3,Lost
SWGY10605,26,1,661.2,3,1,4,8,Loyal
SWGY10606,31,1,128.58,3,1,2,6,Potential
SWGY10609,14,1,389.19,4,1,4,9,Loyal
SWGY10610,126,1,65.27,2,1,1,4,At-Risk
SWGY10613,9,1,297.08,4,1,3,8,Loyal
SWGY10614,73,1,204.74,3,1,3,7,Potential
SWGY10615,348,2,275.94,1,4,3,8,Loyal
SWGY10626,13,1,295.04,4,1,3,8,Loyal
SWGY10631,14,1,409.11,4,1,4,9,Loyal
SWGY10639,72,1,121.35,3,1,2,6,Potential
SWGY10640,2,1,274.37,4,1,3,8,Loyal
SWGY10642,232,1,438.4,2,1,4,7,Potential
SWGY10644,3,1,194.84,4,1,3,8,Loyal
SWGY10646,241,1,162.7,2,1,2,5,At-Risk
SWGY10652,276,1,88.92,1,1,1,3,Lost
SWGY10654,29,1,359.44,3,1,4,8,Loyal
SWGY10664,18,1,497.84,4,1,4,9,Loyal
SWGY10673,249,1,72.14,2,1,1,4,At-Risk
SWGY10675,192,1,131.72,2,1,2,5,At-Risk
SWGY10678,502,1,489.94,1,1,4,6,Potential
SWGY10689,19,1,116.67,3,1,2,6,Potential
SWGY10694,223,1,71.47,2,1,1,4,At-Risk
SWGY10701,345,1,104.61,1,1,2,4,At-Risk
SWGY10703,5,1,193.08,4,1,3,8,Loyal
SWGY10711,262,1,248.11,2,1,3,6,Potential
SWGY10718,1,1,102.33,4,1,1,6,Potential
SWGY10719,31,1,37.12,3,1,1,5,At-Risk
SWGY10730,548,1,195.58,1,1,3,5,At-Risk
SWGY10732,345,1,132.89,1,1,2,4,At-Risk
SWGY10736,8,1,170.54,4,1,2,7,Potential
SWGY10737,460,1,80.18,1,1,1,3,Lost
SWGY10740,132,2,295.64,2,4,3,9,Loyal
SWGY10744,212,1,63.01,2,1,1,4,At-Risk
SWGY10746,28,1,64.05,3,1,1,5,At-Risk
SWGY10750,28,1,154.41,3,1,2,6,Potential
SWGY10754,2,1,185.96,4,1,2,7,Potential
SWGY10761,88,1,326.59,2,1,4,7,Potential
SWGY10765,316,1,154.0,1,1,2,4,At-Risk
SWGY10766,246,1,20.51,2,1,1,4,At-Risk
SWGY10768,102,1,95.78,2,1,1,4,At-Risk
SWGY10769,31,1,168.64,3,1,2,6,Potential
SWGY10778,145,1,569.4,2,1,4,7,Potential
SWGY10787,553,1,354.29,1,1,4,6,Potential
SWGY10793,24,2,453.39,3,4,4,11,Champions
SWGY10795,1,2,407.4,4,4,4,12,Champions
SWGY10797,28,2,529.1800000000001,3,4,4,11,Champions
SWGY10800,371,1,80.81,1,1,1,3,Lost
SWGY10802,13,2,161.36,4,4,2,10,Champions
SWGY10803,102,1,223.75,2,1,3,6,Potential
SWGY10808,158,2,423.70000000000005,2,4,4,10,Champions
SWGY10814,17,1,401.71,4,1,4,9,Loyal
SWGY10816,55,1,243.71,3,1,3,7,Potential
SWGY10821,180,1,89.74,2,1,1,4,At-Risk
SWGY10823,431,1,90.55,1,1,1,3,Lost
SWGY10827,350,2,187.78,1,4,2,7,Potential
SWGY10830,152,1,127.83,2,1,2,5,At-Risk
SWGY10833,438,1,41.13,1,1,1,3,Lost
SWGY10836,22,1,270.59,3,1,3,7,Potential
SWGY10840,149,1,88.91,2,1,1,4,At-Risk
SWGY10844,380,2,241.18,1,4,3,8,Loyal
SWGY10862,9,1,355.87,4,1,4,9,Loyal
SWGY10864,11,2,108.03,4,4,2,10,Champions
SWGY10867,182,1,67.68,2,1,1,4,At-Risk
SWGY10868,16,1,52.42,4,1,1,6,Potential
SWGY10873,31,1,242.57,3,1,3,7,Potential
SWGY10874,444,1,180.56,1,1,2,4,At-Risk
SWGY10877,245,1,76.91,2,1,1,4,At-Risk
SWGY10883,2,2,590.48,4,4,4,12,Champions
SWGY10885,44,1,306.77,3,1,3,7,Potential
SWGY10888,359,1,142.9,1,1,2,4,At-Risk
SWGY10897,196,2,276.86,2,4,3,9,Loyal
SWGY10904,347,3,687.56,1,4,4,9,Loyal
SWGY10910,29,1,40.9,3,1,1,5,At-Risk
SWGY10915,52,1,223.48,3,1,3,7,Potential
SWGY10918,471,1,243.46,1,1,3,5,At-Risk
SWGY10919,13,1,137.61,4,1,2,7,Potential
SWGY10922,246,2,334.52,2,4,4,10,Champions
SWGY10923,64,1,46.8,3,1,1,5,At-Risk
SWGY10926,217,2,605.88,2,4,4,10,Champions
SWGY10927,5,1,587.26,4,1,4,9,Loyal
SWGY10928,22,1,214.57,3,1,3,7,Potential
SWGY10931,2,1,46.71,4,1,1,6,Potential
SWGY10932,180,2,392.02,2,4,4,10,Champions
SWGY10933,246,1,155.62,2,1,2,5,At-Risk
SWGY10934,7,1,27.57,4,1,1,6,Potential
SWGY10935,362,1,37.49,1,1,1,3,Lost
SWGY10938,5,1,213.24,4,1,3,8,Loyal
SWGY10940,162,1,79.68,2,1,1,4,At-Risk
SWGY10944,388,1,33.61,1,1,1,3,Lost
SWGY10947,480,1,171.36,1,1,2,4,At-Risk
SWGY10950,20,2,365.08000000000004,3,4,4,11,Champions
SWGY10952,205,2,545.76,2,4,4,10,Champions
SWGY10953,445,2,159.19,1,4,2,7,Potential
SWGY10954,516,1,241.07,1,1,3,5,At-Risk
SWGY10957,161,2,288.73,2,4,3,9,Loyal
SWGY10958,25,1,175.38,3,1,2,6,Potential
SWGY10961,592,2,381.06,1,4,4,9,Loyal
SWGY10963,71,1,29.19,3,1,1,5,At-Risk
SWGY10966,17,1,81.96,4,1,1,6,Potential
SWGY10970,12,1,113.0,4,1,2,7,Potential
SWGY10973,87,1,46.69,2,1,1,4,At-Risk
SWGY10976,340,2,351.27,1,4,4,9,Loyal
SWGY10977,283,1,49.89,1,1,1,3,Lost
SWGY10979,19,1,223.81,3,1,3,7,Potential
SWGY10980,250,1,485.96,2,1,4,7,Potential
SWGY10983,19,1,145.69,3,1,2,6,Potential
SWGY10985,6,1,69.09,4,1,1,6,Potential
SWGY10988,24,2,291.27,3,4,3,10,Champions
SWGY10993,441,1,259.42,1,1,3,5,At-Risk
SWGY10998,29,1,213.19,3,1,3,7,Potential
SWGY10999,26,1,118.46,3,1,2,6,Potential
SWGY11003,145,1,190.32,2,1,3,6,Potential
SWGY11008,330,1,130.8,1,1,2,4,At-Risk
SWGY11017,192,1,192.45,2,1,3,6,Potential
SWGY11019,201,1,121.08,2,1,2,5,At-Risk
SWGY11030,89,1,64.48,2,1,1,4,At-Risk
SWGY11035,53,1,66.27,3,1,1,5,At-Risk
SWGY11036,54,2,347.63,3,4,4,11,Champions
SWGY11037,424,1,289.4,1,1,3,5,At-Risk
SWGY11041,12,1,303.54,4,1,3,8,Loyal
SWGY11045,332,1,352.82,1,1,4,6,Potential
SWGY11048,4,3,649.62,4,4,4,12,Champions
SWGY11050,6,2,252.2,4,4,3,11,Champions
SWGY11052,217,1,90.58,2,1,1,4,At-Risk
SWGY11056,1,1,57.88,4,1,1,6,Potential
SWGY11057,666,1,434.06,1,1,4,6,Potential
SWGY11061,15,1,81.21,4,1,1,6,Potential
SWGY11064,317,1,164.52,1,1,2,4,At-Risk
SWGY11065,205,1,144.7,2,1,2,5,At-Risk
SWGY11070,106,2,411.83,2,4,4,10,Champions
SWGY11072,143,1,389.71,2,1,4,7,Potential
SWGY11075,3,1,301.57,4,1,3,8,Loyal
SWGY11077,11,2,509.0,4,4,4,12,Champions
SWGY11088,31,1,148.01,3,1,2,6,Potential
SWGY11089,26,1,225.15,3,1,3,7,Potential
SWGY11092,520,1,119.03,1,1,2,4,At-Risk
SWGY11098,16,3,981.37,4,4,4,12,Champions
SWGY11101,70,1,190.18,3,1,2,6,Potential
SWGY11102,415,1,70.36,1,1,1,3,Lost
SWGY11103,9,1,66.35,4,1,1,6,Potential
SWGY11108,642,1,229.21,1,1,3,5,At-Risk
SWGY11111,251,1,395.54,2,1,4,7,Potential
SWGY11112,260,1,281.76,2,1,3,6,Potential
SWGY11116,195,1,163.77,2,1,2,5,At-Risk
SWGY11117,611,1,334.61,1,1,4,6,Potential
SWGY11120,537,1,222.05,1,1,3,5,At-Risk
SWGY11121,21,1,244.89,3,1,3,7,Potential
SWGY11126,272,1,351.51,1,1,4,6,Potential
SWGY11127,8,2,111.28999999999999,4,4,2,10,Champions
SWGY11128,207,2,366.48,2,4,4,10,Champions
SWGY11130,80,1,135.44,3,1,2,6,Potential
SWGY11131,27,1,49.12,3,1,1,5,At-Risk
SWGY11136,14,3,283.69,4,4,3,11,Champions
SWGY11139,114,1,244.44,2,1,3,6,Potential
SWGY11141,19,1,121.52,3,1,2,6,Potential
SWGY11144,233,1,188.45,2,1,2,5,At-Risk
SWGY11151,297,1,108.05,1,1,2,4,At-Risk
SWGY11153,58,2,147.59,3,4,2,9,Loyal
SWGY11158,313,1,202.96,1,1,3,5,At-Risk
SWGY11163,452,2,424.86,1,4,4,9,Loyal
SWGY11170,468,1,106.17,1,1,2,4,At-Risk
SWGY11179,257,1,132.04,2,1,2,5,At-Risk
SWGY11185,31,1,334.01,3,1,4,8,Loyal
SWGY11186,696,1,65.89,1,1,1,3,Lost
SWGY11188,497,1,457.33,1,1,4,6,Potential
SWGY11195,591,1,446.46,1,1,4,6,Potential
SWGY11209,24,1,99.99,3,1,1,5,At-Risk
SWGY11221,298,2,268.77,1,4,3,8,Loyal
SWGY11222,28,1,141.73,3,1,2,6,Potential
SWGY11223,48,1,176.18,3,1,2,6,Potential
SWGY11240,22,1,124.84,3,1,2,6,Potential
SWGY11249,625,1,344.11,1,1,4,6,Potential
SWGY11257,168,1,229.67,2,1,3,6,Potential
SWGY11268,134,1,94.7,2,1,1,4,At-Risk
SWGY11272,23,1,138.52,3,1,2,6,Potential
SWGY11275,284,1,123.32,1,1,2,4,At-Risk
SWGY11277,21,1,166.37,3,1,2,6,Potential
SWGY11278,21,1,93.24,3,1,1,5,At-Risk
SWGY11281,8,2,399.32,4,4,4,12,Champions
SWGY11286,10,1,244.11,4,1,3,8,Loyal
SWGY11288,575,1,505.42,1,1,4,6,Potential
SWGY11291,422,1,192.5,1,1,3,5,At-Risk
SWGY11295,27,3,778.04,3,4,4,11,Champions
SWGY11296,101,1,293.39,2,1,3,6,Potential
SWGY11302,297,1,293.61,1,1,3,5,At-Risk
SWGY11304,125,1,314.6,2,1,3,6,Potential
SWGY11310,86,1,223.79,2,1,3,6,Potential
SWGY11312,28,1,137.73,3,1,2,6,Potential
SWGY11313,135,1,113.73,2,1,2,5,At-Risk
SWGY11314,9,1,130.4,4,1,2,7,Potential
SWGY11324,13,1,50.72,4,1,1,6,Potential
SWGY11331,82,1,87.69,3,1,1,5,At-Risk
SWGY11333,498,1,411.66,1,1,4,6,Potential
SWGY11336,15,1,167.84,4,1,2,7,Potential
SWGY11338,29,1,149.57,3,1,2,6,Potential
SWGY11340,31,1,158.98,3,1,2,6,Potential
SWGY11342,271,1,182.85,1,1,2,4,At-Risk
SWGY11346,403,1,86.44,1,1,1,3,Lost
SWGY11348,295,1,188.35,1,1,2,4,At-Risk
SWGY11349,3,1,195.36,4,1,3,8,Loyal
SWGY11351,457,1,300.96,1,1,3,5,At-Risk
SWGY11356,13,1,104.87,4,1,2,7,Potential
SWGY11358,416,1,280.65,1,1,3,5,At-Risk
SWGY11363,25,1,182.34,3,1,2,6,Potential
SWGY11364,63,1,223.66,3,1,3,7,Potential
SWGY11366,31,1,49.88,3,1,1,5,At-Risk
SWGY11367,55,1,247.67,3,1,3,7,Potential
SWGY11374,48,2,192.31,3,4,3,10,Champions
SWGY11377,444,2,30.6,1,4,1,6,Potential
SWGY11378,167,1,82.86,2,1,1,4,At-Risk
SWGY11381,205,1,79.09,2,1,1,4,At-Risk
SWGY11384,5,1,411.27,4,1,4,9,Loyal
SWGY11387,579,1,205.23,1,1,3,5,At-Risk
SWGY11392,20,1,184.47,3,1,2,6,Potential
SWGY11395,350,1,172.33,1,1,2,4,At-Risk
SWGY11399,377,1,353.23,1,1,4,6,Potential
SWGY11402,75,1,290.64,3,1,3,7,Potential
SWGY11403,388,1,94.31,1,1,1,3,Lost
SWGY11405,336,1,510.49,1,1,4,6,Potential
SWGY11409,558,1,308.31,1,1,3,5,At-Risk
SWGY11411,163,1,181.25,2,1,2,5,At-Risk
SWGY11413,13,1,191.22,4,1,3,8,Loyal
SWGY11414,246,1,170.62,2,1,2,5,At-Risk
SWGY11419,284,2,382.24,1,4,4,9,Loyal
SWGY11431,282,1,40.85,1,1,1,3,Lost
SWGY11432,180,1,131.82,2,1,2,5,At-Risk
SWGY11433,7,1,78.35,4,1,1,6,Potential
SWGY11437,17,1,122.96,4,1,2,7,Potential
SWGY11439,302,1,38.41,1,1,1,3,Lost
SWGY11441,21,1,25.24,3,1,1,5,At-Risk
SWGY11444,12,2,423.26,4,4,4,12,Champions
SWGY11448,124,2,381.71000000000004,2,4,4,10,Champions
SWGY11455,438,1,86.5,1,1,1,3,Lost
SWGY11457,22,1,222.9,3,1,3,7,Potential
SWGY11460,570,1,420.18,1,1,4,6,Potential
SWGY11475,592,1,112.13,1,1,2,4,At-Risk
SWGY11476,430,2,336.72,1,4,4,9,Loyal
SWGY11480,36,1,244.26,3,1,3,7,Potential
SWGY11489,124,1,237.12,2,1,3,6,Potential
SWGY11496,223,1,290.81,2,1,3,6,Potential
SWGY11502,211,1,91.12,2,1,1,4,At-Risk
SWGY11512,76,1,101.34,3,1,1,5,At-Risk
SWGY11514,219,1,370.08,2,1,4,7,Potential
SWGY11531,561,1,207.83,1,1,3,5,At-Risk
SWGY11537,23,2,559.08,3,4,4,11,Champions
SWGY11538,282,2,304.34000000000003,1,4,3,8,Loyal
SWGY11540,266,1,131.32,1,1,2,4,At-Risk
SWGY11543,3,2,515.29,4,4,4,12,Champions
SWGY11545,71,1,48.76,3,1,1,5,At-Risk
SWGY11549,1,1,363.8,4,1,4,9,Loyal
SWGY11552,30,1,218.14,3,1,3,7,Potential
SWGY11555,15,1,270.47,4,1,3,8,Loyal
SWGY11562,12,2,351.18,4,4,4,12,Champions
SWGY11563,93,2,430.69,2,4,4,10,Champions
SWGY11566,621,1,199.93,1,1,3,5,At-Risk
SWGY11567,602,2,112.85999999999999,1,4,2,7,Potential
SWGY11568,15,1,127.49,4,1,2,7,Potential
SWGY11571,281,1,363.83,1,1,4,6,Potential
SWGY11572,359,1,117.19,1,1,2,4,At-Risk
SWGY11573,213,2,525.88,2,4,4,10,Champions
SWGY11575,2,2,479.38,4,4,4,12,Champions
SWGY11578,15,1,180.97,4,1,2,7,Potential
SWGY11582,25,1,89.14,3,1,1,5,At-Risk
SWGY11595,2,1,363.4,4,1,4,9,Loyal
SWGY11598,9,2,647.6,4,4,4,12,Champions
SWGY11601,226,1,63.82,2,1,1,4,At-Risk
SWGY11610,10,1,50.85,4,1,1,6,Potential
SWGY11613,22,1,127.59,3,1,2,6,Potential
SWGY11618,422,1,632.24,1,1,4,6,Potential
SWGY11621,267,1,231.23,1,1,3,5,At-Risk
SWGY11628,361,1,263.89,1,1,3,5,At-Risk
SWGY11630,412,1,312.92,1,1,3,5,At-Risk
SWGY11632,10,1,118.36,4,1,2,7,Potential
SWGY11641,14,1,209.83,4,1,3,8,Loyal
SWGY11645,31,1,55.17,3,1,1,5,At-Risk
SWGY11647,8,1,107.93,4,1,2,7,Potential
SWGY11651,2,2,373.51,4,4,4,12,Champions
SWGY11653,114,1,305.68,2,1,3,6,Potential
SWGY11654,532,1,135.34,1,1,2,4,At-Risk
SWGY11655,626,1,291.91,1,1,3,5,At-Risk
SWGY11660,22,2,268.11,3,4,3,10,Champions
SWGY11667,10,1,401.96,4,1,4,9,Loyal
SWGY11674,503,1,157.92,1,1,2,4,At-Risk
SWGY11677,25,1,197.79,3,1,3,7,Potential
SWGY11688,23,2,98.61,3,4,1,8,Loyal
SWGY11690,349,1,3.07,1,1,1,3,Lost
SWGY11697,114,1,746.32,2,1,4,7,Potential
SWGY11705,40,1,123.37,3,1,2,6,Potential
SWGY11715,13,2,451.72,4,4,4,12,Champions
SWGY11718,8,1,66.1,4,1,1,6,Potential
SWGY11730,145,1,186.95,2,1,2,5,At-Risk
SWGY11736,522,1,156.46,1,1,2,4,At-Risk
SWGY11737,343,1,189.4,1,1,2,4,At-Risk
SWGY11738,31,1,44.61,3,1,1,5,At-Risk
SWGY11746,433,1,158.25,1,1,2,4,At-Risk
SWGY11747,656,2,594.0300000000001,1,4,4,9,Loyal
SWGY11751,573,1,599.96,1,1,4,6,Potential
SWGY11760,215,1,86.9,2,1,1,4,At-Risk
SWGY11765,4,1,126.44,4,1,2,7,Potential
SWGY11766,14,2,421.53,4,4,4,12,Champions
SWGY11771,94,1,399.43,2,1,4,7,Potential
SWGY11773,26,1,99.95,3,1,1,5,At-Risk
SWGY11775,472,2,554.72,1,4,4,9,Loyal
SWGY11777,422,1,141.82,1,1,2,4,At-Risk
SWGY11780,11,1,58.1,4,1,1,6,Potential
SWGY11788,155,2,664.4300000000001,2,4,4,10,Champions
SWGY11790,11,2,396.49,4,4,4,12,Champions
SWGY11795,425,1,90.23,1,1,1,3,Lost
SWGY11806,120,1,211.09,2,1,3,6,Potential
SWGY11808,189,1,52.67,2,1,1,4,At-Risk
SWGY11812,104,1,134.72,2,1,2,5,At-Risk
SWGY11814,18,1,215.78,4,1,3,8,Loyal
SWGY11815,12,1,197.87,4,1,3,8,Loyal
SWGY11816,14,1,378.23,4,1,4,9,Loyal
SWGY11817,22,1,231.26,3,1,3,7,Potential
SWGY11818,203,1,335.35,2,1,4,7,Potential
SWGY11822,290,1,234.46,1,1,3,5,At-Risk
SWGY11825,389,1,252.57,1,1,3,5,At-Risk
SWGY11832,60,1,122.03,3,1,2,6,Potential
SWGY11834,409,1,75.41,1,1,1,3,Lost
SWGY11836,197,1,78.24,2,1,1,4,At-Risk
SWGY11839,639,1,207.68,1,1,3,5,At-Risk
SWGY11842,10,2,829.07,4,4,4,12,Champions
SWGY11844,14,3,922.77,4,4,4,12,Champions
SWGY11857,90,1,185.95,2,1,2,5,At-Risk
SWGY11878,133,1,142.43,2,1,2,5,At-Risk
SWGY11884,17,2,146.83,4,4,2,10,Champions
SWGY11889,323,1,98.1,1,1,1,3,Lost
SWGY11890,13,1,272.1,4,1,3,8,Loyal
SWGY11892,22,1,329.19,3,1,4,8,Loyal
SWGY11895,67,2,326.03,3,4,4,11,Champions
SWGY11897,183,2,298.62,2,4,3,9,Loyal
SWGY11901,303,1,29.67,1,1,1,3,Lost
SWGY11911,15,2,559.8199999999999,4,4,4,12,Champions
SWGY11921,312,1,66.98,1,1,1,3,Lost
SWGY11924,155,1,40.03,2,1,1,4,At-Risk
SWGY11929,204,1,124.83,2,1,2,5,At-Risk
SWGY11931,514,1,121.62,1,1,2,4,At-Risk
SWGY11932,4,1,123.5,4,1,2,7,Potential
SWGY11937,23,2,325.83000000000004,3,4,4,11,Champions
SWGY11941,23,1,138.71,3,1,2,6,Potential
SWGY11946,70,2,485.48,3,4,4,11,Champions
SWGY11949,367,1,268.26,1,1,3,5,At-Risk
SWGY11952,378,1,66.01,1,1,1,3,Lost
SWGY11953,270,1,134.06,1,1,2,4,At-Risk
SWGY11959,508,1,326.38,1,1,4,6,Potential
SWGY11964,673,1,299.4,1,1,3,5,At-Risk
SWGY11969,282,1,61.65,1,1,1,3,Lost
